iter	RMSE
716	147180.1535
717	146118.975
718	145548.5259
719	144981.9021
720	144013.3848
721	143453.1923
722	142217.5683
723	141663.7021
724	141113.4062
725	140566.6701
726	139355.3346
727	138814.7883
728	137756.4794
729	137222.2569
730	136691.6797
731	136164.4554
732	135640.5456
733	134549.1636
734	134030.8963
735	132876.1875
736	132363.8307
737	131854.8219
738	131349.0223
739	130216.9958
740	129716.9321
741	129220.0826
742	128726.4337
743	127616.6352
744	126596.8689
745	126110.7809
746	125627.7351
747	124549.6627
748	124072.0448
749	123597.3892
750	122537.9238
751	122068.4991
752	121142.8555
753	120678.7081
754	120217.7336
755	119188.9486
756	118732.865
757	118279.7487
758	117384.1075
759	116936.116
760	116491.2166
761	115494.2098
762	115054.0129
763	114616.6544
764	113750.0131
765	113317.6313
766	112888.2432
767	112035.806
768	111611.0979
769	111189.346
770	110236.4489
771	109819.1516
772	108992.0779
773	108579.7117
774	108169.9587
775	107244.5773
776	106839.4116
777	106436.7131
778	105636.3858
779	105238.4194
780	104842.9532
781	103946.1107
782	103555.1068
783	102778.5321
784	102392.0097
785	102007.9926
786	101137.0444
787	100757.1464
788	100003.8582
789	99628.35235
790	99255.35153
791	98514.22311
792	98145.62169
793	97779.25564
794	96945.09334
795	96582.80507
796	96222.87161
797	95505.70599
798	95149.9973
799	94796.47604
800	93988.03673
801	93638.47595
802	92942.81824
803	92597.18986
804	92253.94503
805	91468.87471
806	91129.33068
807	90792.06972
808	90118.91147
809	89785.42597
810	89454.23074
811	88693.3776
812	88365.77674
813	87712.60659
814	87388.90614
815	87067.2721
816	86424.85689
817	86106.94047
818	85791.01991
819	85062.25379
820	84749.94303
821	84126.78308
822	83817.87876
823	83511.08257
824	82803.39229
825	82499.91897
826	82198.38203
827	81587.35094
828	81289.10786
829	80992.90809
830	80307.54964
831	80014.55978
832	79422.28334
833	79132.60549
834	78844.77117
835	78179.691
836	77895.13782
837	77321.07051
838	77039.60127
839	76760.02673
840	76114.64526
841	75838.1747
842	75281.78768
843	75008.17264
844	74736.43028
845	74189.13581
846	73920.23505
847	73653.22055
848	73035.95578
849	72771.71875
850	72240.96626
851	71979.72555
852	71720.12656
853	71121.17459
854	70864.33348
855	70609.15778
856	70095.81523
857	69843.43761
858	69262.26549
859	69012.63639
860	68764.48726
861	68266.85624
862	68021.4589
863	67777.66001
864	67214.93493
865	66973.76286
866	66491.37623
867	66252.72996
868	66015.7709
869	65469.78417
870	65235.32869
871	64767.56372
872	64535.73993
873	64305.33994
874	63845.26595
875	63617.43485
876	63391.05989
877	62868.93016
878	62645.02514
879	62199.08976
880	61977.54022
881	61757.4933
882	61250.94707
883	61033.28776
884	60600.90233
885	60385.70386
886	60171.76658
887	59680.33823
888	59468.85037
889	59048.08937
890	58839.00386
891	58631.11618
892	58154.06168
893	57948.47493
894	57744.14595
895	57338.63878
896	57136.45452
897	56935.68282
898	56473.88578
899	56275.28247
900	55882.12312
901	55685.74343
902	55490.62714
903	55042.6624
904	54849.5876
905	54468.57966
906	54277.64322
907	54088.05758
908	53653.53148
909	53465.96379
910	53096.7533
911	52911.10099
912	52726.80078
913	52359.8936
914	52177.72452
915	51996.63253
916	51580.95764
917	51401.84396
918	51049.4634
919	50872.35729
920	50696.43986
921	50293.27661
922	50119.26858
923	49777.83835
924	49605.64778
925	49434.6418
926	49043.64578
927	48874.5638
928	48706.51918
929	48376.61197
930	48210.23102
931	47879.87107
932	47715.50078
933	47552.31978
934	47227.43541
935	47065.97611
936	46905.6072
937	46586.13429
938	46427.53633
939	46270.00578
940	45955.83644
941	45799.93893
942	45645.06292
943	45335.96251
944	45182.81015
945	45030.56053
946	44726.57703
947	44575.97456
948	44426.27562
949	44127.32767
950	43979.22474
951	43832.15529
952	43538.03292
953	43392.51444
954	43247.87042
955	42958.62622
956	42815.51842
957	42673.38858
958	42388.94527
959	42248.20536
960	42108.46166
961	41828.6359
962	41690.35129
963	41414.38188
964	41277.64212
965	41141.8284
966	40870.43213
967	40736.01237
968	40602.41453
969	40335.43388
970	40203.34825
971	40072.0501
972	39809.52266
973	39679.6409
974	39550.54906
975	39238.81442
976	39111.26618
977	38853.82039
978	38727.44456
979	38601.85828
980	38348.44578
981	38224.11436
982	38100.67668
983	37851.23319
984	37728.9101
985	37607.49326
986	37361.74873
987	37241.54941
988	37122.26326
989	36881.57744
990	36763.61622
991	36646.28326
992	36407.61058
993	36291.41634
994	36055.94384
995	35940.8967
996	35826.66823
997	35546.94785
998	35434.04395
999	35321.8053
8304.20457
